0	7.82660626	NaN	0.11147167	NaN
30	4.4128554	NaN	0.27592774	NaN
60	2.63286973	NaN	0.26036994	NaN
120	2.53258344	2.53258344	0.29018286	0.29018286
180	2.14880514	1.788453716	0.17750882	0.220565649
240	2.05375233	0.93919705	0.15546862	0.200766652
300	1.99829014	0.833613438	0.25579463	0.116308888
360	1.84062062	0.636326779	0.25615608	0.139030643
