0	8.372337721	8.302604713	8.353272947	0.034565444	0.035934859	0.067041817
30	6.177427396	5.94358668	5.53424986	0.094948704	0.61578558	0.314533051
60	5.504897112	5.122614355	4.819369354	0.055095056	0.078231083	0.045889968
90	5.196282944	4.667431766	4.431707777	0.039371055	0.03324449	0.096836171
120	4.920427323	4.630263198	4.356971194	0.021205859	0.044343527	0.174106179
180	4.551947373	4.106424336	3.672781429	0.071264387	0.099834396	0.100034316
240	4.038361286	3.528941238	3.119820043	0.090264057	0.104988481	0.125908082
360	3.746862936	2.783432728	2.377528966	0.077821249	0.130996216	0.13666678
420	3.52238272	2.491936732	1.926620386	0.042713637	0.122843864	0.233468263
540	2.762279686	NaN	NaN	0.17783756	NaN	NaN
