0	8.007219032	8.082494308	8.053055227	0.062644709	0.037159629	0.124331253
30	5.932007239	5.225772497	5.301029996	0.110492316	0.150514998	0.245789962
60	5.356387223	4.042674057	4.450636422	0.2846679	0.171804527	0.157409625
90	4.541999815	4.169933158	3.574560395	0.106410518	0.045782937	0.078236293
120	4.345508065	3.817238051	3.470029541	0.125968723	0.118752461	0.090144161
180	3.88256007	3.371536487	1.792674057	0.066592461	0.070594044	0.1980949
240	3.582397059	3.05982537	2.35096879	0.060054877	0.056538398	0.148653315
360	2.539590623	2.066302757	1.627371156	0.072133413	0.108982295	0.204742993
420	2.268446554	1.92041449	NaN	0.127332591	0.067663461	NaN
480	2.137726867	NaN	NaN	0.225078635	NaN	NaN
